index_x,conversation_num,gini_coefficient_num_words,gini_coefficient_num_chars,average_num_words,stdev_num_words,min_num_words,max_num_words,average_num_chars,stdev_num_chars,min_num_chars,max_num_chars,average_num_messages,stdev_num_messages,min_num_messages,max_num_messages,average_positive_sentiment,stdev_positive_sentiment,min_positive_sentiment,max_positive_sentiment,average_negative_sentiment,stdev_negative_sentiment,min_negative_sentiment,max_negative_sentiment,average_neutral_sentiment,stdev_neutral_sentiment,min_neutral_sentiment,max_neutral_sentiment,index_y,batch_num,round_num,speaker_hash,timestamp,majority_pct,num_votes
933,20,0.21924417046368266,0.21123693379790942,76.14285714285714,29.434812098352285,33,121,374.85714285714283,140.40902349048307,164,595,9.857142857142858,3.2701494692170274,6,15,2.8384666,1.3965625,1.066591,5.420009,2.4851918,1.4680905,0.6820785,4.7974315,4.5334845,1.2851206,2.6772492,6.965346,933,10,1,5e31d6b2e31c5304c46f140a,2020-04-21T19:59:31.601Z,0.8333333333333334,6
1002,21,0.22416891284815813,0.22654377880184332,90.85714285714286,38.189110532523614,43,153,442.85714285714283,187.2915439868538,194,726,11.428571428571429,3.4166459266003995,7,16,2.577276,1.4452535,1.0182393,5.565049,3.3722224,1.3267267,1.955621,5.915949,5.479073,1.491492,3.519801,7.4304514,1002,10,3,5e31d6b2e31c5304c46f140a,2020-04-21T20:29:07.992Z,1.0,6
1082,22,0.20108695652173914,0.1996955746955747,80.5,29.68164415931166,42,143,420.875,158.77691700936884,243,773,4.125,1.6153559979150107,2,7,0.34710872,0.2816493,0.028243195,1.016342,1.7656251,0.73868036,0.6725635,3.1777847,2.0122662,1.0367682,0.44524056,3.918136,1082,11,0,5e9f40129dc0406f89878121,2020-04-21T19:21:14.802Z,0.6666666666666666,6
1115,23,0.32875457875457875,0.3279277699859748,68.25,42.13594071573578,29,142,356.5,220.93947134905522,142,769,4.125,1.8328597873268975,2,7,0.46291602,0.3476884,0.026391318,1.073694,2.3898497,0.9484124,0.97234184,3.684443,1.272234,0.8855202,0.40828747,3.1203809,1115,11,1,5e9f40129dc0406f89878121,2020-04-21T19:35:48.200Z,0.8333333333333334,6
1148,24,0.21806569343065693,0.2245688493667475,85.625,33.25258448602153,24,130,463.875,185.3364761049481,116,732,5.625,3.119995993587171,1,11,0.62326396,0.54109395,0.005900077,1.4757597,2.4432352,1.029635,0.91324866,4.129139,2.5585008,2.011612,0.08085126,6.089319,1148,12,0,5e9f12369dc0406f8987514b,2020-04-21T19:06:55.178Z,1.0,7
1193,25,0.2412577934399566,0.26029411764705884,75.28571428571429,33.66097480005289,30,143,388.57142857142856,190.75703105772848,152,786,6.857142857142857,2.6954231805876008,1,10,0.8973163,0.5796107,0.010418862,1.8622526,3.026757,1.4391142,0.76405025,5.365119,2.9330692,1.1987419,0.2255309,4.06086,1193,12,1,5e9f12369dc0406f8987514b,2020-04-21T19:20:56.463Z,1.0,7
1241,26,0.37772397094430993,0.3554585567205959,84.28571428571429,56.77201092518915,0,157,430.14285714285717,275.1682231297941,46,804,8.285714285714286,2.602981022612657,4,11,1.6162035,1.1017286,0.47400367,3.4440296,2.1013544,1.1655995,0.19651636,3.8819783,4.5681562,1.4112551,2.1454563,6.413157,1241,13,1,5e9de5329dc0406f8987225e,2020-04-21T19:03:57.803Z,1.0,7
1299,27,0.2056155507559395,0.21362068965517242,92.6,36.373616812189574,26,128,464.0,188.3167544325252,127,651,8.8,3.54400902933387,2,12,1.6355461,1.0134964,0.038526762,3.0503268,3.0158126,1.0289897,1.0542835,3.987999,4.1486406,1.7079076,0.9071897,5.936132,1299,13,2,5e9f0ade9dc0406f898749a7,2020-04-21T19:19:03.007Z,1.0,5
1343,28,0.2323985680190931,0.23753304494111993,104.75,43.57106264483344,32,177,520.125,223.74563543229172,140,917,5.5,3.1622776601683795,2,13,0.7197412,0.7352218,0.102332406,2.1165352,2.017353,1.0493023,0.31133097,3.7131429,2.7629056,2.060457,0.7396536,7.6876707,1343,14,0,5d482eab21c9be351f764242,2020-04-21T18:32:14.898Z,0.7142857142857143,7
1387,29,0.15175909361955875,0.1517040731504572,93.16666666666667,25.379891427838867,53,134,467.8333333333333,126.61676648673175,269,668,5.666666666666667,2.494438257849294,3,10,0.45500407,0.39871204,0.038164422,1.2055749,2.481342,1.1279023,1.654563,4.946796,2.7303202,1.3563617,0.7881372,4.6028566,1387,14,3,5d482eab21c9be351f763ec2,2020-04-21T19:16:45.068Z,1.0,6
1421,30,0.20264811490125673,0.20315752949340735,69.625,26.720486054710907,42,126,360.25,140.61183271688054,212,673,3.375,1.653594569415369,1,6,0.22299281,0.15724814,0.010052959,0.46884578,1.6810257,0.91406584,0.3870255,3.1211941,1.4709814,0.8774056,0.23076741,2.9886174,1421,15,0,5e9f14709dc0406f898754ab,2020-04-21T18:26:03.857Z,0.5,4
1448,31,0.21177944862155387,0.20893141945773525,66.5,26.837473800639284,13,98,348.3333333333333,139.39711458834276,68,488,3.1666666666666665,1.0671873729054748,1,4,0.41432074,0.34475088,0.07203949,0.9723511,1.3316599,0.651266,0.1095,2.1488311,1.4206859,0.535466,0.7537519,2.3930998,1448,15,2,5e9ded209dc0406f898727ad,2020-04-21T18:55:09.668Z,1.0,5
1467,32,0.0899390243902439,0.08518747424804285,109.33333333333333,18.616002673924267,88,146,539.3333333333334,83.10568906853221,433,690,7.5,2.5,4,11,0.96863467,0.6293017,0.06919348,2.098115,2.604514,0.5631836,1.8605579,3.3951302,3.9268513,1.9226313,0.93516284,6.474033,1467,16,1,5d482ea921c9be351f763813,2020-04-22T18:00:07.957Z,0.8,5
1512,33,0.14808558558558557,0.14283434407915735,98.66666666666667,28.85403880838098,74,152,522.1666666666666,141.1800465914201,384,776,7.0,2.23606797749979,4,11,1.1025054,0.4547082,0.49550125,1.7751453,2.7672672,0.811544,1.2683078,3.4941278,3.130227,1.6858182,1.0296637,6.3883944,1512,16,2,5e9f36449dc0406f8987761b,2020-04-22T18:15:13.951Z,0.8,5
1554,34,0.27221037668798864,0.27135606548002,104.22222222222223,51.80900345988304,41,213,518.1111111111111,252.49706024446854,189,1012,6.888888888888889,1.4487116456005886,5,10,0.94742596,0.36508846,0.26233286,1.552687,2.2365828,0.8326211,0.8695694,3.2482011,3.7048802,1.0697867,2.0991259,6.0705123,1554,17,0,5e543be4d1db96705ff13dc6,2020-04-22T17:28:22.418Z,0.875,8
1616,35,0.24563318777292575,0.25341828921461385,114.5,51.61152971962757,62,203,571.375,267.2362894050881,295,1039,7.875,2.8476964374736293,5,14,0.9555944,0.51257515,0.44368973,2.13149,3.075533,2.1056976,0.6035246,7.820592,3.8438725,0.97533035,2.384129,5.3167562,1616,17,1,5ea076809dc0406f8987dd98,2020-04-22T17:43:13.483Z,0.75,8
1679,36,0.3851851851851852,0.3951028258618139,75.0,52.51666402200353,2,152,375.5,269.477735629495,7,782,5.666666666666667,3.0368111930481,1,11,0.8922961,0.60925347,0.042721998,1.6124779,2.0981607,1.1660057,0.06416116,3.6722143,2.6762097,1.7649083,0.6271185,5.715308,1679,18,0,5ea0720c9dc0406f8987ce48,2020-04-22T17:01:57.715Z,1.0,5
1713,37,0.18632911392405063,0.196356474643033,79.0,26.72826219566098,38,118,406.2,143.6821492044158,189,610,6.2,2.039607805437114,4,10,1.3784004,0.63390684,0.5436281,2.2249427,2.6674411,1.3204885,1.7074864,5.276235,2.1541584,0.55978715,1.0871841,2.6744907,1713,18,3,5ea06c089dc0406f8987c3c6,2020-04-22T17:46:35.051Z,1.0,5
1744,38,0.3300027005130975,0.31966053748231965,75.57142857142857,45.91873922751906,0,161,375.14285714285717,217.87311416866245,35,775,6.142857142857143,1.6413036132965795,4,9,0.621204,0.331303,0.2195769,1.2280685,1.9727557,0.7917735,0.19234239,2.688058,3.5488973,1.0381881,2.3746188,5.3780994,1744,19,1,5d482eab21c9be351f763e0a,2020-04-22T17:01:56.368Z,0.6666666666666666,6
1787,39,0.3773496240601504,0.35861024330209224,86.85714285714286,58.864077261405654,1,158,431.14285714285717,281.00555590411307,28,746,7.0,2.138089935299395,3,10,0.8270589,0.5033672,0.23178168,1.7469845,2.7224078,1.4051753,0.35520172,4.7214065,3.4505336,1.2387949,0.8933464,4.9424434,1787,19,2,5d482eaa21c9be351f7639b8,2020-04-22T17:16:44.820Z,0.8,5
1836,40,0.3805473372781065,0.4068670150987224,84.5,58.69199263954155,4,183,430.5,321.38450491584064,15,1013,6.5,3.640054944640259,2,12,0.9200465,0.6320355,0.022066435,1.9302614,2.1245666,1.2763802,0.43939176,4.124359,3.4553866,1.9638557,0.46885133,5.9453793,1836,20,1,5d482eaa21c9be351f763dc7,2020-04-22T16:43:24.803Z,0.8571428571428571,7
1888,41,0.30734767025089604,0.32475097829953753,69.75,38.290827883450106,25,129,351.375,205.35453336851367,110,737,5.875,3.059309562630104,2,10,0.68153733,0.67253333,0.04042183,2.052931,2.4824793,1.461006,0.14627048,4.32617,2.7109833,1.3279755,1.1571991,4.5920606,1888,20,2,5d482eaa21c9be351f763dc7,2020-04-22T16:58:08.872Z,1.0,8
1935,42,0.2689732142857143,0.2789579995820854,109.71428571428571,52.28415298215344,27,189,586.0,288.55155518555085,133,1007,5.428571428571429,2.8713930346059686,1,9,0.9196125,0.5094334,0.068287484,1.6624768,1.9520899,1.3861681,0.24331638,3.8739626,2.5568693,1.5137157,0.34712523,4.217461,1935,21,0,5d482eaa21c9be351f763a45,2020-04-22T19:39:47.230Z,0.5,6
1973,43,0.18892114175133043,0.20160238494503446,114.83333333333333,44.77877721520418,59,207,596.3333333333334,246.66554053796992,291,1104,5.666666666666667,2.1343747458109497,3,9,0.39422274,0.20847294,0.1262732,0.754698,2.7705677,1.4523052,0.64460975,4.481716,2.501876,0.9329522,0.9150663,3.7635856,1973,21,2,5d482eaa21c9be351f763a45,2020-04-22T20:09:27.293Z,0.6,5
